fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
10100,US,,,cbsa,,iso1:us#cbsa:10100,,42668,0.452,other,22.4,,1.18,0.63,,,,3,3,2,4,2,,4,13025,150,,,,131,53,3,,,,,,0,,30324,25361,2023-02-11,,0.711,0.594,0,,3,12863,0.301,157.0,,,356,133,7,32,8,1,0.023,,12,10,12.5,,1,6422,0.151
10140,US,,,cbsa,,iso1:us#cbsa:10140,,75061,0.074,other,5.1,,0.9,0.72,,,1.0,1,1,1,4,0,,3,20296,249,,,,51,48,1,,6,6,0,,27,,51887,47640,2023-02-11,,0.691,0.635,1,,1,25246,0.336,36.0,,,648,543,20,59,49,0,0.032,,5,20,4.7,,0,11788,0.157
10180,US,,,cbsa,,iso1:us#cbsa:10180,,172060,,other,13.7,,,,,,,2,4,2,4,4,,4,52771,966,,,,,,,,,,,,29,,99835,85705,2023-02-11,,0.58,0.498,2,,2,33318,0.194,95.9,,,966,912,36,54,54,1,0.025,,,48,7.6,,0,12867,0.075
10220,US,,,cbsa,,iso1:us#cbsa:10220,,38284,0.258,other,34.3,,1.09,0.36,,,0.83,3,3,3,4,1,,2,16411,169,,,,114,59,10,,12,10,1,,92,,25034,20412,2023-02-11,,0.654,0.533,0,,3,8255,0.216,240.3,,,142,74,10,12,10,1,0.047,,8,8,14.8,,2,3482,0.091
10300,US,,,cbsa,,iso1:us#cbsa:10300,,98451,0.062,other,5.1,,0.68,0.58,,,0.86,1,1,1,4,0,,3,32122,371,,,,39,30,1,,7,6,1,,0,,56185,53592,2023-02-11,,0.571,0.544,0,,1,29052,0.295,35.6,,,460,295,7,104,86,3,0.015,,4,6,2.3,,0,9141,0.093
10380,US,,,cbsa,,iso1:us#cbsa:10380,,289289,0.148,other,14.3,,0.7,0.19,,,,2,2,2,4,0,,4,104536,,,,,,,,,,,,,53,,253706,237800,2023-02-11,,0.877,0.822,,,3,151374,0.523,100.2,,,,,,,,,0.022,,,,1.4,,0,16357,0.057
10420,US,,,cbsa,,iso1:us#cbsa:10420,,703479,0.094,other,11.8,,1.19,0.17,,,0.82,2,1,2,4,2,,2,185390,2333,,,,794,641,29,,77,63,8,,579,,482650,452372,2023-02-11,,0.686,0.643,4,,2,269952,0.384,82.3,,,1902,1540,75,178,140,17,0.046,,44,116,10.1,,1,125002,0.178
10460,US,,,cbsa,,iso1:us#cbsa:10460,,67490,0.049,other,4.0,,0.73,0.81,,,1.0,1,1,1,4,0,,3,19197,226,,,,78,53,1,,5,5,0,,2,,31460,27575,2023-02-11,,0.466,0.409,0,,1,,,28.2,,,106,64,1,8,8,0,0.018,,8,4,1.1,,0,,
10500,US,,,cbsa,,iso1:us#cbsa:10500,,146726,0.124,other,12.7,,0.97,0.32,,,,2,2,2,4,1,,4,41171,877,,,,,,,,,,,,0,,83763,73057,2023-02-11,,0.571,0.498,0,,3,31296,0.213,88.6,,,1682,1538,72,152,144,10,0.039,,,100,6.8,,0,9758,0.067
10540,US,,,cbsa,,iso1:us#cbsa:10540,,129749,0.061,other,7.0,,0.94,0.51,,,0.53,1,1,1,4,1,,0,33035,329,,,,151,77,2,,17,9,2,,0,,81547,74155,2023-02-11,,0.628,0.572,0,,1,41002,0.316,49.3,,,323,245,6,37,27,1,0.025,,5,6,4.0,,0,17656,0.136
10580,US,,,cbsa,,iso1:us#cbsa:10580,,880381,0.12,other,13.3,,0.99,0.14,,,0.73,2,2,2,4,1,,1,231809,1798,,,,2031,1633,119,,171,124,13,,155,,764017,677689,2023-02-11,,0.868,0.77,1,,3,412872,0.469,93.3,,,2655,1976,137,195,126,29,0.061,,106,172,14.5,,1,201628,0.229
10620,US,,,cbsa,,iso1:us#cbsa:10620,,62806,0.077,other,10.7,,0.75,0.45,,,0.56,2,1,2,4,0,,0,23859,291,,,,117,62,2,,10,5,0,,0,,29728,28047,2023-02-11,,0.473,0.447,0,,2,15810,0.252,74.8,,,905,679,42,96,85,5,0.047,,4,39,9.0,,0,,
10660,US,,,cbsa,,iso1:us#cbsa:10660,,30281,0.148,other,8.5,,0.86,0.8,,,0.86,2,2,1,4,0,,3,10516,90,,,,61,49,4,,7,6,1,,18,,19167,18067,2023-02-11,,0.633,0.597,0,,3,11378,0.376,59.4,,,61,49,4,7,6,1,0.032,,5,5,6.8,,0,6072,0.201
10700,US,,,cbsa,,iso1:us#cbsa:10700,,96774,0.144,other,15.4,,0.91,0.35,,,0.89,2,2,2,4,1,,3,32645,408,,,,160,109,4,,18,16,0,,0,,55584,45848,2023-02-11,,0.574,0.474,0,,3,17286,0.179,107.5,,,351,251,5,46,44,4,0.028,,4,22,6.7,,0,5143,0.053
10740,US,,,cbsa,,iso1:us#cbsa:10740,,918018,0.062,other,6.4,,1.04,0.18,,,,1,1,1,4,1,,4,268642,3128,,,,,,,,,,,,88,,649772,577734,2023-02-11,,0.708,0.629,2,,1,,,45.0,,,7914,6397,166,777,705,26,0.023,,,112,3.8,,0,,
10760,US,,,cbsa,,iso1:us#cbsa:10760,,51030,0.12,other,12.3,,0.75,0.5,,,,2,2,2,4,0,,4,18211,315,,,,,,,,,,,,0,,24320,20519,2023-02-11,,0.477,0.402,0,,3,9227,0.181,86.2,,,572,380,14,50,48,2,0.011,,,18,2.5,,0,3031,0.059
10780,US,,,cbsa,,iso1:us#cbsa:10780,,152037,0.144,other,12.3,,1.18,0.36,,,,2,2,2,4,2,,4,49572,710,,,,,,,,,,,,0,,88355,76709,2023-02-11,,0.581,0.505,0,,3,31530,0.207,86.1,,,1458,937,26,164,107,4,0.02,,,23,8.3,,0,8720,0.057
10820,US,,,cbsa,,iso1:us#cbsa:10820,,38141,0.187,other,15.7,,0.91,0.64,,,0.43,2,2,2,4,1,,0,13235,139,,,,48,26,1,,4,1,1,,42,,24203,22654,2023-02-11,,0.635,0.594,2,,3,14958,0.392,110.1,,,75,35,2,4,1,1,0.046,,5,5,13.5,,1,8728,0.229
10860,US,,,cbsa,,iso1:us#cbsa:10860,,51639,0.161,other,19.6,,1.04,0.55,,,,2,2,2,4,1,,4,18475,299,,,,,,,,,,,,0,,35023,29466,2023-02-11,,0.678,0.571,0,,3,12640,0.245,137.5,,,1004,667,31,90,62,4,0.044,,,51,16.6,,1,4751,0.092
10900,US,,,cbsa,,iso1:us#cbsa:10900,,844052,0.113,other,10.8,,0.97,0.14,,,0.52,2,2,2,4,1,,0,261948,3328,,,,2035,1617,43,,243,127,17,,19,,678563,602235,2023-02-11,,0.804,0.714,0,,3,303223,0.359,75.4,,,6719,5353,124,765,432,26,0.025,,77,224,9.9,,0,,
