fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,0.333,other,8.6,,1.01,1.17,,,,3,3,1,4,1,,4,1313,5,,,,,,,,,,,,0,,2900,2498,2023-02-11,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.869,0.749,0,,3,1035,0.31,59.9,820,547697,278,198,13,26,23,4,0.039,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,32,6.4,0,0,191,0.057
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.469,other,58.3,,1.18,0.7,,,,3,3,3,4,2,,4,1971,2,,,,,,,,,,,,0,,4395,3618,2023-02-11,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.78,0.642,0,,3,1407,0.25,408.2,820,547697,278,198,13,26,23,4,0.039,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,32,6.4,1,1,469,0.083
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.149,other,10.5,,1.08,0.27,,,1.0,2,2,2,4,1,,3,122813,584,,,,189,142,13,,17,17,4,,0,,229628,204359,2023-02-11,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.797,0.71,0,,3,102685,0.357,73.6,820,547697,278,198,13,26,23,4,0.039,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",28,32,6.4,0,0,43217,0.15
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.066,other,62.9,,1.04,0.51,,,,3,1,3,4,1,,4,12828,47,,,,,,,,,,,,0,,13644,12665,2023-02-11,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.742,0.689,0,,3,6598,0.359,440.6,820,547697,278,198,13,26,23,4,0.039,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,32,6.4,1,1,1602,0.087
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2023-02-11,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0,,,0.0,820,547697,278,198,13,26,23,4,0.039,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,32,6.4,1,0,,
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,3.4,,1.0,1.17,,,,1,4,1,4,1,,4,1791,2,,,,,,,,,,,,0,,1381,1166,2023-02-11,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.659,0.556,0,,1,628,0.299,23.8,819,111069,101,73,4,13,10,0,0.033,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",,5,4.5,0,0,321,0.153
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.128,other,34.9,,1.36,1.04,,,,3,2,3,4,2,,4,2254,14,,,,,,,,,,,,0,,2924,2631,2023-02-11,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.595,0.535,0,,3,1300,0.264,244.1,820,547697,278,198,13,26,23,4,0.039,"Anchorage (Anchorage), AK - Matanuska-Susitna Borough, AK",,32,6.4,1,1,467,0.095
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.163,other,11.4,,0.99,0.49,,,0.77,2,2,2,4,1,,1,33176,170,,,,101,73,4,,13,10,0,,0,,69077,62029,2023-02-11,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.713,0.64,0,,3,25799,0.266,79.5,819,111069,101,73,4,13,10,0,0.033,"Fairbanks North Star Borough, AK - Denali/Yukon-Koyukuk, AK",5,5,4.5,0,0,10976,0.113
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,0.214,other,11.3,,1.0,1.17,,,,3,3,2,4,1,,4,800,1,,,,,,,,,,,,0,,1957,1809,2023-02-11,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.774,0.715,0,,3,1106,0.437,79.1,818,46907,57,48,1,9,4,1,0.0,"Juneau City and Borough, AK - Sitka City and Borough, AK",,5,0.0,0,0,505,0.2
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.182,other,0.0,,,,,,,0,2,0,4,4,,4,0,0,,,,,,,,,,,,0,,1653,1546,2023-02-11,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.77,0.72,0,,3,1042,0.485,0.0,818,46907,57,48,1,9,4,1,0.0,"Juneau City and Borough, AK - Sitka City and Borough, AK",,5,0.0,1,0,455,0.212
02110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.152,other,13.4,,1.03,0.79,,,0.54,2,2,2,4,1,,0,11791,27,,,,57,48,1,,9,4,1,,0,,27945,25515,2023-02-11,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.874,0.798,0,,3,15336,0.48,93.8,818,46907,57,48,1,9,4,1,0.0,"Juneau City and Borough, AK - Sitka City and Borough, AK",5,5,0.0,0,0,7573,0.237
