fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel,actuals.vaccinationsAdditionalDose,metrics.vaccinationsAdditionalDoseRatio,metrics.weeklyNewCasesPer100k,hsa,hsaPopulation,actuals.hsaHospitalBeds.capacity,actuals.hsaHospitalBeds.currentUsageTotal,actuals.hsaHospitalBeds.currentUsageCovid,actuals.hsaIcuBeds.capacity,actuals.hsaIcuBeds.currentUsageTotal,actuals.hsaIcuBeds.currentUsageCovid,metrics.bedsWithCovidPatientsRatio,hsaName,actuals.hospitalBeds.weeklyCovidAdmissions,actuals.hsaHospitalBeds.weeklyCovidAdmissions,metrics.weeklyCovidAdmissionsPer100k,communityLevels.cdcCommunityLevel,communityLevels.canCommunityLevel,actuals.vaccinationsFall2022BivalentBooster,metrics.vaccinationsFall2022BivalentBoosterRatio
02,US,AK,,state,,iso1:us#iso2:us-ak,,731545,0.148,other,13.5,,1.09,0.14,,,,,,0.83,2,2,2,4,1,,2,305370,1426,392971,4344827,235,1600,1312,35,,138,114,0,,0,2107875,533783,476182,2023-02-11,https://covidactnow.org/us/alaska-ak,0.73,0.651,0,1315549,3,235039,0.321,94.2,,,,,,,,,0.022,,37,,5.1,,0,95934,0.131
01,US,AL,,state,,iso1:us#iso2:us-al,,4903185,0.102,other,28.6,,1.2,0.1,,,,,,0.86,3,2,3,4,2,,3,1625105,21363,1270912,7724459,404,12153,9428,385,,1445,1248,69,,9820,12099240,3185414,2605439,2023-02-11,https://covidactnow.org/us/alabama-al,0.65,0.531,0,6976100,3,1034364,0.211,200.3,,,,,,,,,0.032,,445,,9.1,,1,349047,0.071
05,US,AR,,state,,iso1:us#iso2:us-ar,,3017804,0.091,other,9.2,,0.93,0.1,,,,,,0.79,1,1,1,4,1,,1,999053,12916,576687,4751022,790,7452,5862,225,,826,649,38,,219,8191640,2107952,1715180,2023-02-11,https://covidactnow.org/us/arkansas-ar,0.699,0.568,7,4841210,2,763022,0.253,64.7,,,,,,,,,0.03,,176,,5.8,,0,312302,0.103
04,US,AZ,,state,,iso1:us#iso2:us-az,,7278717,0.093,other,6.1,,1.07,0.1,,,,,,0.71,1,1,1,4,1,,1,2403045,32936,2198371,13850343,396,14653,11892,489,,1666,1176,26,,3099,19400730,5641418,4801686,2023-02-11,https://covidactnow.org/us/arizona-az,0.775,0.66,0,14449773,2,2394240,0.329,42.6,,,,,,,,,0.033,,381,,5.2,,0,1047313,0.144
06,US,CA,,state,,iso1:us#iso2:us-ca,,39512223,0.051,other,9.5,,1.07,0.1,,,,,,0.77,1,1,1,4,1,,1,12030850,102744,11591690,156942177,10600,62967,51504,2952,,6824,5249,286,,20405,118110955,33466766,29489111,2023-02-11,https://covidactnow.org/us/california-ca,0.847,0.746,121,87584300,2,17305188,0.438,66.4,,,,,,,,,0.047,,3090,,7.8,,0,7544382,0.191
08,US,CO,,state,,iso1:us#iso2:us-co,,5758736,0.099,other,8.0,,1.05,0.1,,,,,,0.63,1,1,1,4,1,,0,1753002,14085,1763389,17251393,1300,10320,7104,209,,1239,781,21,,618,17241605,4815841,4229919,2023-02-11,https://covidactnow.org/us/colorado-co,0.836,0.735,2,12884113,2,2433371,0.423,56.1,,,,,,,,,0.02,,294,,5.1,,0,1178194,0.205
09,US,CT,,state,,iso1:us#iso2:us-ct,,3565287,0.076,other,10.6,,0.92,0.1,,,,,,0.69,2,1,2,4,1,,0,969598,12037,1091472,15427802,860,7563,5868,421,,892,619,31,,348,11633855,3655048,2959485,2023-02-11,https://covidactnow.org/us/connecticut-ct,0.95,0.83,64,8972321,2,1640988,0.46,74.0,,,,,,,,,0.056,,414,,11.6,,1,859129,0.241
11,US,DC,,state,,iso1:us#iso2:us-dc,,705749,0.084,other,9.5,,1.11,0.2,,,,,,0.82,2,1,1,4,2,,2,176845,1425,284610,5500584,268,3207,2693,150,,316,259,11,,420,,,,2023-02-11,https://covidactnow.org/us/district_of_columbia-dc,,,3,,2,,,66.8,,,,,,,,,0.047,,97,,13.7,,1,,
10,US,DE,,state,,iso1:us#iso2:us-de,,973764,0.124,other,15.1,,1.16,0.13,,,,,,1.19,2,2,2,4,2,,3,327873,3288,359417,3816492,211,2422,3115,225,,181,216,8,,1026,3242355,858647,713632,2023-02-11,https://covidactnow.org/us/delaware-de,0.882,0.733,0,2154832,3,367136,0.377,105.4,,,,,,,,,0.093,,119,,12.2,,1,195697,0.201
12,US,FL,,state,,iso1:us#iso2:us-fl,,21477737,0.128,other,13.3,,2.03,0.24,,,,,,0.79,3,2,2,4,3,,1,7436452,85710,8317506,57150697,2600,55076,44574,1903,,6333,4976,240,,39903,60096595,17699765,14896712,2023-02-11,https://covidactnow.org/us/florida-fl,0.824,0.694,0,41858020,3,6531336,0.304,92.9,,,,,,,,,0.035,,2013,,9.4,,0,2287957,0.107
